Unnamed: 0,Product Name,Price
0,400,142
1,398,142
2,401,168
3,114,150
4,399,168
5,294,14
6,396,18
7,394,18
8,395,15
9,397,15
10,362,7
11,364,7
12,363,173
13,365,17
14,367,17
15,296,14
16,361,173
17,348,25
18,267,168
19,372,10
20,369,17
21,371,17
22,356,142
23,354,142
24,400,142
25,398,142
26,401,168
27,399,168
28,396,18
29,394,18
30,395,15
31,397,15
32,362,7
33,364,7
34,363,173
35,367,17
36,365,17
37,361,173
38,348,25
39,372,10
40,369,17
41,371,17
42,356,142
43,354,142
44,370,10
45,355,168
46,357,168
47,349,36
48,244,162
49,242,162
50,245,173
51,243,173
52,257,27
53,259,27
54,260,37
55,239,162
56,238,173
57,254,32
58,241,173
59,250,75
60,237,162
61,240,162
62,248,75
63,255,175
64,253,25
65,261,27
66,252,25
67,251,81
68,249,81
69,250,75
70,248,75
71,246,64
72,390,53
73,388,53
74,391,38
75,389,38
76,380,33
77,382,33
78,383,27
79,383,21
80,381,21
81,394,18
82,395,15
83,397,15
84,401,168
85,399,168
86,400,142
87,398,142
88,384,38
89,386,38
90,385,32
91,387,32
92,381,27
93,396,18
94,392,175
95,393,175
96,270,28
97,273,58
98,280,145
99,277,144
100,278,143
101,327,70
102,277,161
103,271,30
104,282,160
105,283,165
106,282,155
107,281,146
108,281,159
109,273,51
110,274,50
111,278,163
112,329,69
113,328,62
114,202,66
115,272,46
116,217,74
117,279,164
118,201,71
119,203,67
120,294,14
121,296,14
122,292,14
123,297,19
124,298,19
125,295,18
126,293,18
127,291,18
128,300,55
129,299,55
130,300,60
131,288,47
132,312,23
133,299,60
134,315,29
135,290,63
136,314,42
137,313,11
138,321,54
139,311,12
140,310,26
141,309,24
142,287,56
143,289,61
144,145,175
145,170,140
146,168,140
147,169,140
148,137,171
149,148,10
150,144,175
151,150,10
152,146,10
153,165,142
154,164,142
155,147,175
156,151,17
157,161,25
158,160,25
159,162,36
160,149,17
161,163,36
162,152,38
163,154,27
164,155,18
165,158,27
166,153,38
167,156,27
168,21,110
169,66,77
170,3,136
171,72,77
172,34,110
173,69,77
174,24,110
175,111,107
176,4,137
177,64,84
178,112,107
179,67,84
180,73,120
181,110,120
182,70,84
183,74,120
184,38,170
185,37,153
186,40,153
187,35,170
188,39,153
189,36,153
190,0,108
191,41,139
192,413,121
193,411,121
194,411,109
195,410,105
196,414,154
197,412,105
198,413,109
199,396,18
200,394,18
201,395,15
202,397,15
203,257,27
204,259,27
205,260,37
206,261,27
207,258,37
208,256,37
209,234,49
210,233,52
211,3,136
212,4,137
213,6,136
214,16,137
215,1,137
216,15,125
217,10,137
218,7,137
219,18,125
220,8,149
221,13,137
222,5,149
223,9,136
224,12,125
225,17,149
226,14,149
227,2,149
228,11,149
229,300,55
230,299,55
231,300,60
232,299,60
233,206,87
234,205,87
235,394,18
236,395,15
237,397,15
238,396,18
239,356,142
240,354,142
241,355,168
242,357,168
243,362,7
244,364,7
245,363,173
246,361,173
247,352,36
248,350,36
249,353,25
250,351,25
251,406,90
252,408,90
253,407,102
254,409,102
255,330,72
256,331,72
257,332,72
258,333,72
259,331,75
260,332,75
261,333,75
262,330,75
263,403,83
264,402,76
265,405,83
266,404,76
267,212,175
268,211,175
269,154,27
270,155,18
271,158,27
272,156,27
273,159,18
274,157,18
275,161,25
276,160,25
277,163,36
278,162,36
279,214,19
280,216,19
281,215,32
282,213,32
283,207,32
284,208,32
285,212,175
286,211,175
287,154,27
288,155,18
289,158,27
290,156,27
291,159,18
292,157,18
293,21,110
294,34,110
295,24,110
296,20,137
297,30,137
298,23,137
299,26,137
300,25,123
301,27,110
302,22,123
303,19,123
304,33,137
305,32,123
306,29,123
307,31,110
308,138,158
309,140,158
310,136,158
311,137,171
312,142,158
313,139,171
314,141,171
315,143,171
316,209,44
317,210,44
318,66,77
319,72,77
320,69,77
321,64,84
322,67,84
323,70,84
324,71,104
325,68,104
326,65,104
327,108,104
328,109,77
329,107,84
330,104,84
331,103,77
332,102,104
333,106,77
334,101,84
335,105,104
336,398,142
337,400,142
338,401,168
339,399,168
340,267,168
341,269,168
342,265,168
343,266,10
344,264,10
345,268,10
346,367,17
347,365,17
348,370,10
349,372,10
350,369,17
351,371,17
352,366,10
353,368,10
354,231,35
355,230,43
356,231,43
357,230,35
358,345,38
359,346,44
360,345,44
361,346,38
362,373,68
363,375,68
364,373,74
365,377,74
366,379,77
367,374,77
368,378,77
369,376,77
370,343,10
371,341,10
372,344,17
373,342,17
374,337,10
375,339,10
376,338,19
377,342,19
378,344,19
379,340,19
380,82,19
381,83,32
382,77,110
383,98,44
384,78,103
385,84,19
386,88,60
387,79,86
388,75,85
389,81,174
390,96,20
391,97,20
392,94,148
393,99,27
394,87,32
395,93,114
396,92,114
397,85,32
398,95,175
399,86,19
400,89,168
401,91,114
402,80,140
403,90,114
404,400,142
405,398,142
406,401,168
407,399,168
408,396,18
409,394,18
410,395,15
411,397,15
412,362,7
413,364,7
414,363,173
415,367,17
416,365,17
417,361,173
418,348,25
419,372,10
420,369,17
421,371,17
422,356,142
423,354,142
424,370,10
425,355,168
426,357,168
427,349,36
428,21,110
429,66,77
430,3,136
431,72,77
432,34,110
433,69,77
434,24,110
435,111,107
436,4,137
437,64,84
438,112,107
439,67,84
440,73,120
441,110,120
442,70,84
443,74,120
444,38,170
445,37,153
446,40,153
447,35,170
448,39,153
449,0,108
450,36,153
451,41,139
452,126,151
453,123,124
454,121,124
455,120,138
456,127,92
457,122,101
458,125,93
459,124,106
460,244,162
461,242,162
462,245,173
463,243,173
464,259,27
465,260,37
466,239,162
467,238,173
468,254,32
469,241,173
470,250,75
471,237,162
472,240,162
473,248,75
474,255,175
475,253,25
476,261,27
477,252,25
478,251,81
479,249,81
480,250,75
481,248,75
482,246,64
483,247,58
484,270,28
485,273,59
486,280,145
487,277,144
488,278,143
489,327,70
490,277,161
491,271,30
492,282,160
493,283,165
494,282,155
495,281,146
496,281,159
497,273,51
498,274,50
499,278,163
500,329,69
501,328,62
502,202,66
503,272,46
504,217,74
505,279,164
506,201,71
507,203,67
508,132,89
509,134,89
510,133,100
511,131,105
512,135,100
513,236,48
514,336,78
515,199,34
516,119,131
517,76,19
518,322,99
519,113,134
520,307,13
521,317,41
522,286,8
523,182,135
524,220,45
525,57,82
526,62,108
527,63,169
528,181,131
529,129,122
530,318,40
531,316,41
532,189,157
533,305,167
534,171,111
535,319,40
536,308,31
537,235,39
538,335,32
539,232,73
540,219,175
541,306,30
542,66,77
543,72,77
544,69,77
545,64,84
546,67,84
547,70,84
548,71,104
549,65,104
550,68,104
551,56,65
552,108,104
553,55,65
554,59,91
555,172,115
556,52,119
557,188,112
558,58,152
559,301,133
560,60,152
561,218,98
562,61,152
563,54,65
564,53,65
565,190,30
566,21,110
567,24,110
568,221,130
569,186,130
570,187,129
571,41,139
572,20,137
573,46,153
574,192,117
575,48,153
576,44,153
577,45,139
578,30,137
579,42,153
580,49,176
581,50,139
582,28,137
583,51,176
584,334,148
585,47,176
586,276,135
587,26,137
588,275,166
589,43,176
590,193,4
591,194,1
592,128,0
593,194,1
594,193,5
595,195,2
596,398,142
597,400,142
598,399,168
599,401,168
600,294,14
601,397,15
602,395,15
603,394,18
604,396,18
605,265,168
606,348,25
607,372,10
608,369,17
609,371,17
610,356,142
611,354,142
612,269,168
613,292,14
614,263,168
615,267,168
616,227,6
617,222,172
618,370,10
619,357,168
620,183,3
621,320,88
622,363,173
623,361,173
624,222,172
625,223,172
626,225,172
627,140,158
628,136,158
629,138,158
630,244,162
631,242,162
632,226,172
633,229,6
634,228,6
635,416,9
636,419,172
637,415,9
638,417,16
639,239,162
640,418,172
641,360,173
642,118,141
643,197,142
644,196,142
645,185,135
646,400,142
647,398,142
648,356,142
649,354,142
650,170,140
651,168,140
652,169,140
653,166,142
654,164,142
655,167,142
656,165,142
657,117,128
658,115,128
659,116,128
660,324,156
661,323,147
662,358,148
663,359,148
664,180,126
665,179,127
666,221,130
667,280,145
668,277,144
669,278,143
670,401,168
671,399,168
672,294,14
673,394,18
674,395,15
675,397,15
676,362,7
677,364,7
678,367,17
679,365,17
680,296,14
681,348,25
682,267,168
683,370,10
684,372,10
685,369,17
686,371,17
687,269,168
688,292,14
689,263,168
690,224,6
691,227,6
692,355,168
693,262,168
694,175,79
695,174,80
696,178,97
697,176,95
698,177,96
699,173,94
700,304,128
701,302,128
702,325,113
703,284,118
704,184,118
705,130,118
706,285,118
707,100,99
708,326,118
709,336,78
710,172,115
711,200,22
712,191,116
713,303,131
714,198,132
715,188,112
716,199,34
717,301,133
718,349,36
719,347,36
720,345,38
721,352,36
722,350,36
723,231,35
724,209,44
725,300,55
726,146,10
727,299,55
728,260,37
729,383,27
730,386,38
731,161,25
732,160,25
733,377,68
734,380,33
735,382,33
736,210,44
737,215,32
738,373,68
739,375,68
740,312,23
741,204,57
